stu_id,exer_id,response,UKC_id
1,13,1,11
1,14,1,12
1,15,0,13
2,13,1,11
2,14,1,12
2,15,0,13
3,13,1,11
3,14,1,12
3,15,1,13
4,13,1,11
4,14,0,12
4,15,0,13
5,13,1,11
5,14,0,12
5,15,1,13
6,13,1,11
6,14,1,12
6,15,0,13
7,13,0,11
7,14,0,12
7,15,0,13
8,13,0,11
8,14,1,12
8,15,0,13
9,13,1,11
9,14,0,12
9,15,1,13
10,13,1,11
10,14,1,12
10,15,1,13
11,13,1,11
11,14,0,12
11,15,0,13
12,13,0,11
12,14,0,12
12,15,0,13
13,13,0,11
13,14,1,12
13,15,0,13
14,13,1,11
14,14,0,12
14,15,0,13
15,13,1,11
15,14,0,12
15,15,0,13
16,13,0,11
16,14,0,12
16,15,0,13
17,13,1,11
17,14,0,12
17,15,1,13
18,13,1,11
18,14,1,12
18,15,1,13
19,13,1,11
19,14,0,12
19,15,0,13
20,13,0,11
20,14,0,12
20,15,0,13
21,13,1,11
21,14,1,12
21,15,0,13
22,13,1,11
22,14,1,12
22,15,0,13
23,13,1,11
23,14,0,12
23,15,0,13
24,13,1,11
24,14,1,12
24,15,1,13
25,13,1,11
25,14,1,12
25,15,1,13
26,13,1,11
26,14,0,12
26,15,0,13
27,13,1,11
27,14,0,12
27,15,0,13
28,13,1,11
28,14,0,12
28,15,0,13
29,13,1,11
29,14,1,12
29,15,1,13
30,13,1,11
30,14,0,12
30,15,0,13
31,13,1,11
31,14,0,12
31,15,1,13
32,13,1,11
32,14,1,12
32,15,1,13
33,13,1,11
33,14,1,12
33,15,0,13
34,13,1,11
34,14,1,12
34,15,1,13
35,13,0,11
35,14,1,12
35,15,0,13
36,13,1,11
36,14,1,12
36,15,0,13
37,13,1,11
37,14,1,12
37,15,0,13
38,13,1,11
38,14,0,12
38,15,0,13
39,13,1,11
39,14,0,12
39,15,0,13
40,13,1,11
40,14,1,12
40,15,0,13
41,13,1,11
41,14,0,12
41,15,0,13
42,13,1,11
42,14,0,12
42,15,0,13
43,13,1,11
43,14,0,12
43,15,1,13
44,13,1,11
44,14,0,12
44,15,0,13
45,13,1,11
45,14,1,12
45,15,0,13
46,13,1,11
46,14,1,12
46,15,1,13
47,13,1,11
47,14,1,12
47,15,0,13
48,13,1,11
48,14,1,12
48,15,1,13
49,13,1,11
49,14,0,12
49,15,0,13
50,13,1,11
50,14,0,12
50,15,0,13
51,13,1,11
51,14,0,12
51,15,1,13
52,13,1,11
52,14,1,12
52,15,1,13
53,13,1,11
53,14,0,12
53,15,1,13
54,13,1,11
54,14,0,12
54,15,0,13
55,13,1,11
55,14,1,12
55,15,1,13
56,13,1,11
56,14,0,12
56,15,0,13
57,13,1,11
57,14,1,12
57,15,0,13
58,13,1,11
58,14,0,12
58,15,0,13
59,13,1,11
59,14,0,12
59,15,0,13
60,13,1,11
60,14,0,12
60,15,1,13
61,13,0,11
61,14,1,12
61,15,0,13
62,13,1,11
62,14,0,12
62,15,0,13
63,13,1,11
63,14,0,12
63,15,0,13
64,13,0,11
64,14,0,12
64,15,0,13
65,13,1,11
65,14,1,12
65,15,0,13
66,13,0,11
66,14,0,12
66,15,0,13
67,13,0,11
67,14,1,12
67,15,0,13
68,13,1,11
68,14,1,12
68,15,1,13
69,13,0,11
69,14,0,12
69,15,0,13
70,13,1,11
70,14,0,12
70,15,1,13
71,13,1,11
71,14,1,12
71,15,1,13
72,13,1,11
72,14,1,12
72,15,0,13
73,13,1,11
73,14,1,12
73,15,0,13
74,13,1,11
74,14,1,12
74,15,0,13
75,13,0,11
75,14,0,12
75,15,0,13
76,13,1,11
76,14,0,12
76,15,0,13
77,13,1,11
77,14,1,12
77,15,1,13
78,13,1,11
78,14,0,12
78,15,0,13
79,13,1,11
79,14,0,12
79,15,0,13
80,13,1,11
80,14,1,12
80,15,0,13
81,13,1,11
81,14,1,12
81,15,1,13
82,13,1,11
82,14,1,12
82,15,1,13
83,13,1,11
83,14,1,12
83,15,1,13
84,13,1,11
84,14,0,12
84,15,0,13
85,13,1,11
85,14,0,12
85,15,0,13
86,13,1,11
86,14,0,12
86,15,0,13
87,13,1,11
87,14,0,12
87,15,1,13
88,13,1,11
88,14,0,12
88,15,0,13
89,13,1,11
89,14,1,12
89,15,0,13
90,13,1,11
90,14,0,12
90,15,0,13
91,13,1,11
91,14,0,12
91,15,0,13
92,13,1,11
92,14,0,12
92,15,0,13
93,13,0,11
93,14,0,12
93,15,1,13
94,13,0,11
94,14,0,12
94,15,0,13
95,13,1,11
95,14,0,12
95,15,0,13
96,13,1,11
96,14,1,12
96,15,1,13
97,13,1,11
97,14,1,12
97,15,1,13
98,13,0,11
98,14,0,12
98,15,0,13
99,13,1,11
99,14,1,12
99,15,0,13
100,13,1,11
100,14,1,12
100,15,0,13
101,13,1,11
101,14,0,12
101,15,0,13
102,13,1,11
102,14,0,12
102,15,0,13
103,13,1,11
103,14,1,12
103,15,1,13
104,13,1,11
104,14,1,12
104,15,1,13
105,13,1,11
105,14,0,12
105,15,0,13
106,13,1,11
106,14,0,12
106,15,0,13
107,13,1,11
107,14,1,12
107,15,0,13
108,13,1,11
108,14,0,12
108,15,1,13
109,13,1,11
109,14,0,12
109,15,0,13
110,13,1,11
110,14,1,12
110,15,1,13
111,13,0,11
111,14,0,12
111,15,0,13
112,13,1,11
112,14,0,12
112,15,0,13
113,13,1,11
113,14,0,12
113,15,0,13
114,13,1,11
114,14,0,12
114,15,1,13
115,13,1,11
115,14,0,12
115,15,1,13
116,13,1,11
116,14,1,12
116,15,1,13
117,13,0,11
117,14,0,12
117,15,0,13
118,13,1,11
118,14,0,12
118,15,1,13
119,13,1,11
119,14,1,12
119,15,0,13
120,13,0,11
120,14,0,12
120,15,0,13
121,13,1,11
121,14,0,12
121,15,0,13
122,13,1,11
122,14,0,12
122,15,1,13
123,13,1,11
123,14,0,12
123,15,0,13
124,13,0,11
124,14,0,12
124,15,0,13
125,13,1,11
125,14,1,12
125,15,0,13
126,13,1,11
126,14,1,12
126,15,0,13
127,13,0,11
127,14,0,12
127,15,0,13
128,13,1,11
128,14,1,12
128,15,1,13
